Trial,R=250,R=500,R=1000,R=1500,R=2000,R=2500,R=3000
562,8967,28213,85536,71558,143037,477181,207004
563,5066,13818,39823,193339,143569,257373,696808
564,6818,28693,104878,66952,136819,112778,823854
565,8425,52779,40403,94255,273329,133406,378289
566,8228,31984,58291,68951,148259,254853,353655
567,5667,19965,100107,168446,300178,358958,398916
568,5324,7900,98371,108986,91089,223366,384242
569,2675,31746,63422,169152,141766,286951,267884
570,5850,21342,45779,212049,134369,345579,486829
571,5183,14118,86846,76090,187285,523631,264257
572,2431,25586,33257,109383,242253,282119,748718
573,4096,13229,54853,112574,179992,324760,426106
574,8291,21058,129445,68233,200132,499171,505890
575,5785,20515,38986,80664,409664,125629,425383
576,7968,17681,61998,94813,134571,424944,236161
577,8555,28999,70275,188861,161241,521412,474565
578,12080,21764,49696,49678,123443,224819,347143
579,5317,10777,55904,81613,204163,237052,422701
580,3045,26920,42793,164585,200916,201326,343862
581,4225,10954,85641,206240,213117,172525,377483
582,3909,25727,79052,102984,465257,205879,650568
583,9948,26527,67494,189996,142907,284229,440432
584,9732,20461,83093,141085,127708,169995,460932
585,4804,11457,75665,87251,131675,397919,415757
586,5459,42590,36109,108620,167046,434526,655521
587,4566,17155,78066,94250,113533,280093,599560
588,3646,35444,63763,71629,135208,343141,563710
589,13143,11698,71014,119024,199410,433719,457580
590,6370,38901,62141,87695,228899,117606,669930
591,6158,24775,57250,131287,160541,511634,688167
592,5575,13816,53691,69895,187763,394085,405410
593,10047,36507,86143,111987,237831,178026,359384
594,10607,7029,67143,67936,257580,239632,203339
595,11066,10044,32398,170771,249906,369954,304543
596,14827,32047,127638,90446,169221,351293,427368
597,16897,27724,43707,82790,149702,238281,392423
598,4768,21049,81688,79228,102935,289947,208415
599,7129,31874,23180,89612,101896,262376,177497
