Trial,R=250,R=500,R=1000,R=1500,R=2000,R=2500
441,3313,38041,37412,68547,298147,240365
442,7328,36669,30715,188598,137603,361376
443,5359,11613,111921,89913,152814,150782
444,6124,57952,30798,72750,144045,302327
445,4784,23082,124985,127982,87145,147003
446,14047,16774,109939,252128,182172,728785
447,4992,10090,87612,77955,190062,341243
448,3554,25936,72502,82541,158496,228742
449,3935,7883,66493,131669,159392,248822
450,2682,22844,80115,202853,209521,202219
451,5797,25026,48080,117978,93666,175199
452,7124,9736,37162,112159,289454,269392
453,12498,22981,65839,177965,128428,759225
454,10674,9315,67881,110586,265319,95465
455,5521,15522,104954,86689,211776,160498
456,5157,11156,45136,92992,237215,207133
457,9058,14432,49232,78049,153187,212039
458,5544,34983,46174,151546,135832,283161
459,5046,11092,84325,107557,180442,291583
460,11669,25487,78980,100214,167047,271962
461,10509,11187,52277,294540,113073,188465
462,10373,13843,37723,142850,198342,339343
463,3886,12405,26092,94211,220062,325446
464,7395,25583,43027,83034,247312,170068
465,4496,11419,35612,115996,182214,176814
466,4064,16150,154564,137282,238213,359291
467,11382,12847,51222,94746,320423,295425
468,4520,13829,97082,70995,273371,389002
469,8120,12896,53512,195280,160607,335735
470,5386,27908,94734,60253,121531,372620
471,5035,21284,37639,99301,162140,221666
472,4526,23764,35978,260233,164843,252228
473,3580,11575,51361,80526,257273,514191
474,5595,27496,63625,78502,273642,191277
475,12845,23318,74391,69656,308130,359325
476,7549,10490,77684,104892,137768,173468
477,6890,15089,47841,82323,219445,181640
478,6986,11049,55526,204915,161563,216537
479,6505,23538,56834,205653,138284,467657
480,3132,25155,90716,156095,146002,161123
481,6849,14383,60090,145400,193996,278625
482,5087,27214,49736,76994,87341,316508
483,4300,9444,58220,138014,197080,254958
484,6494,12363,30255,195983,96697,184478
485,12681,31651,49497,184539,180621,152976
486,5209,23834,75981,139046,253374,307233
487,4598,14130,78840,153948,172375,209669
488,5627,20272,42948,172897,240588,250279
489,13145,34980,77879,108908,299836,133680
490,3096,48219,91448,144365,148558,239436
491,8600,20533,46957,188625,231671,581188
492,3951,48442,52102,99845,289844,322221
493,4434,17565,74130,141642,585772,156098
494,3372,16516,48795,83630,144785,237443
495,13491,10617,31505,206536,183291,351874
496,8233,18083,50430,87710,255877,172609
497,7112,18290,54276,201170,108951,195643
498,10686,18465,25437,184550,267308,299967
499,8818,35952,53543,149257,243451,232468
500,8414,34593,63798,57277,279406,471894
501,6146,19324,55705,190086,542032,339924
502,6127,7845,36061,121508,146646,193752
503,4843,14015,67259,145226,98622,289794
504,5764,12579,135176,158852,149494,206459
505,13404,25379,22232,100542,161425,203049
506,3655,15359,43884,130436,132082,424122
507,8884,11167,71684,58955,86024,198747
508,5805,19836,81549,74902,210011,115599
509,3964,17474,32910,271270,125968,261172
510,7063,11172,94952,126967,225664,520342
511,5199,11419,130246,68839,209670,307021
512,6944,19196,56678,127359,116063,227167
513,4816,23078,74639,166384,163646,168447
514,3956,21611,77404,111832,189354,296814
515,6121,11574,53475,187953,241256,186657
516,6223,18159,37321,104255,215828,348054
517,11401,46071,49018,162071,174885,309738
518,4115,41082,76417,102480,113693,261663
519,5144,14823,86697,131057,277842,430242
520,3656,19813,35579,82341,87794,264051
521,6281,27954,158364,167472,193265,171266
522,4590,24131,132638,178129,132996,230110
523,11474,34446,59943,127249,207331,296001
524,4308,18040,42412,197559,161654,171080
525,7942,29451,54377,105675,393077,410040
526,4556,27470,73703,93495,100989,264774
527,3385,13170,128385,46849,121510,221276
528,7726,19874,131558,86500,91932,264650
529,8646,20823,32967,108918,178087,282850
530,5691,18280,37748,78567,227595,350017
531,5081,20944,44244,118985,385734,194645
532,6043,15699,60038,158904,428369,201050
533,7086,14643,29472,83294,157828,261256
534,4858,14558,39851,109006,129010,161695
535,7935,15332,111428,168165,110880,422313
536,11785,15639,81496,77529,310251,567540
537,4993,18895,92287,132462,314020,236053
538,3365,12652,49876,140064,239764,329116
539,3829,13303,36780,160578,319458,586933
540,13972,18517,71415,98540,187199,155769
541,6146,15233,45548,64963,175780,284844
542,8618,16919,76261,160689,256202,317615
543,14757,25271,72214,223764,193889,230867
544,9596,10590,53674,80860,145764,245124
545,3786,12598,68052,217975,123389,594742
546,5079,14645,69637,68307,266980,177563
547,14181,10668,52886,85819,140093,293033
548,3978,8569,121317,96018,172779,207983
549,7306,15808,46416,146669,121080,412471
550,5889,23771,52552,117105,145272,227730
551,13175,19607,28648,174832,259229,171388
552,7203,13232,91974,123772,238299,388619
553,8312,15628,54770,162809,183489,302847
554,8844,12685,66153,120920,227745,177512
555,6395,13133,51965,149322,352450,112793
556,9565,16741,92527,132459,203977,235821
557,4535,16745,42717,72267,162574,256174
558,2568,33141,126286,39400,270345,554567
559,10170,16512,77526,119121,71006,683808
560,2863,49482,111239,242817,183938,307553
561,5160,8385,51338,132376,237595,280010
562,6725,8714,73651,137873,120262,291784
563,4915,17382,73608,73483,195618,183964
564,15210,9880,83319,85624,257442,216215
565,3154,24378,58712,108827,200348,211646
566,3673,24196,43542,91505,134046,262477
567,18027,14309,79559,123400,93467,371553
568,4177,16694,64305,83736,229749,550901
569,15445,18409,45440,93235,276306,437990
570,4193,46488,139319,114361,247107,292038
571,10613,35697,45119,99559,154872,414802
572,9325,20623,33977,267692,149434,340494
573,7876,10359,46354,156726,357742,278030
574,4670,30556,120490,144738,92316,392066
575,7275,22187,57953,144487,389368,292036
576,5864,26016,34049,343370,240172,263606
577,5269,29929,37151,104699,152414,585901
578,9452,45768,94529,164664,163246,361033
579,9368,14684,119655,243686,131903,669478
580,8430,9305,85673,146588,221553,143834
581,13666,21933,83666,47711,97858,357227
582,8453,9755,64589,91331,155753,311573
583,6153,35823,49300,90016,102311,304564
584,7157,17692,29840,127479,289525,188221
585,4901,24426,50780,122348,133054,478528
586,4603,16184,92859,91053,115788,178686
587,2982,24824,83361,119431,108964,234277
588,5202,37046,48006,476186,197494,339872
589,6572,21126,74201,103043,210386,322155
590,6139,30931,32682,113061,295176,203957
591,4127,16177,53746,172849,212917,221814
592,7266,22323,36295,129789,111581,379688
593,3719,15688,101460,84100,143748,252626
594,9995,32400,47245,111855,152993,177352
595,4398,13651,135728,72951,125769,192896
596,8280,49900,66621,44275,132629,375724
597,13392,16787,24428,74105,187920,310185
598,8428,13327,60540,79898,141604,111740
599,7491,17333,40116,257563,132723,295502
600,6584,12974,80747,72051,153707,181671
601,7012,18923,48969,275673,106148,270428
602,10378,11010,100573,97989,269835,215496
603,6334,19242,56795,88376,154971,172559
604,5751,13024,107434,97295,188683,225276
605,8853,10434,90798,86911,96346,170078
606,6269,13306,47147,199193,161165,239551
607,5689,10762,35708,213232,158689,294395
608,5489,13517,98744,91011,527868,190946
609,9352,20110,65615,154067,199915,353431
610,4198,14055,44318,126915,150069,261647
611,6490,25810,82724,77407,177126,208832
612,5438,20042,97158,202252,141448,669778
613,6332,21696,90465,171061,175140,179982
614,5477,65869,30566,221627,226878,217806
615,8662,25396,62282,89520,545063,372616
616,9542,14953,79742,113030,152564,329788
617,4863,24906,47923,66353,232160,167694
618,12107,24939,55371,129840,278836,204989
619,6093,12399,69138,85701,284588,111206
620,3345,31323,44039,68092,153577,214405
621,7268,18107,86535,229833,137969,424337
622,8640,25679,76854,67153,156414,164993
623,6582,13568,40736,86644,223990,154755
624,13909,12716,77741,115444,241041,249351
625,14308,17617,109463,96547,126336,209224
626,7999,32101,60529,98404,269001,304914
627,9413,8979,31134,77829,397458,182128
628,5049,20969,37260,100862,120352,421504
629,9083,20143,90794,82634,153680,277511
630,10356,29801,62092,80020,180558,354726
631,5577,12817,77688,99842,287285,371532
632,11081,26563,49080,233656,173556,261915
633,8480,63385,41962,127452,275547,362804
634,5571,16288,35686,120000,150944,328303
635,8853,10989,70716,76825,103719,167662
636,6175,17531,45394,243382,288853,152976
637,11960,11609,31990,91386,143058,322341
638,3243,17341,99839,110893,147347,237805
639,4925,27379,68561,196001,301858,228955
640,3019,14561,51336,179413,153333,158489
641,6890,16118,109014,112376,133257,313257
642,7322,21635,53308,147721,409778,225760
643,7988,24222,27973,176069,221719,176447
644,9018,13710,64741,181672,156058,245445
645,6477,23397,90075,53451,176963,548461
646,3572,11048,73453,101130,124570,281816
647,7181,12972,49309,213853,413225,265312
648,5678,13224,26819,150933,177682,363374
649,4884,17858,70727,174095,97985,198140
650,4938,34277,83944,229079,217350,371646
651,5281,8784,46518,68881,311687,279129
652,4655,11878,124527,96825,223126,204873
653,2851,28173,109391,99792,162942,234180
654,6678,19752,68096,170926,231830,406641
655,8833,11846,80358,67059,195011,105268
656,3107,15419,43047,79370,213016,231954
657,6253,11908,71164,77005,286483,267815
658,3447,16859,68314,113018,218216,289608
659,6514,25315,40666,143306,256478,565414
660,6018,13459,84874,78991,77304,348356
661,9902,26275,67104,226647,216462,227040
662,6210,21332,35190,200976,216553,352663
663,3169,43585,47954,191519,120869,158311
664,13958,16421,58664,145659,250492,583385
665,10129,21750,56550,64519,253975,194541
666,2503,15214,78747,80921,109063,209205
667,4543,19957,37616,96558,223738,444441
668,7491,16623,39854,112820,157020,362051
669,3100,17466,124109,52759,241591,254125
670,8255,22982,120756,180838,172017,233836
671,4154,12848,81556,279060,129884,441244
672,4337,19968,43355,99379,202583,511829
673,6179,19393,37606,140800,102480,280101
674,7129,11181,39805,89467,207787,235150
675,3339,13965,152434,123686,153921,210312
676,7342,17484,110821,349883,180187,284249
677,6178,36474,119066,109045,102319,292607
678,6748,10457,28446,78248,129950,237831
679,4712,33927,64261,107569,157943,128241
680,6411,28256,49868,109448,154919,416820
681,3878,12673,38046,115546,187776,363554
682,4381,21442,76559,113935,463838,284408
683,4100,15094,44865,114865,135264,534147
684,11371,16645,97062,170610,138231,125939
685,2985,24169,114470,49856,102701,193667
686,3650,11479,96589,180784,228874,157346
687,5096,29037,33153,207641,235124,270520
688,6251,10001,137947,96375,231047,235054
689,8039,16769,47145,177400,228591,359415
690,5592,33691,56058,100223,165972,304149
